order_line_id,order_id,dc_id,sku,qty_ordered,qty_shipped,ship_date,promised_date,actual_delivery_date,transit_days_actual,promise_revisions,backorder_days,on_time,in_full
OL-0000024,ORD-000019,CD-SP,P1,175,175,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000025,ORD-000020,CD-PE,P3,75,75,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000026,ORD-000021,CD-PR,P2,224,224,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000028,ORD-000023,CD-SP,P4,75,75,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000029,ORD-000024,CD-PR,P1,175,175,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000030,ORD-000025,CD-SP,P1,175,175,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000031,ORD-000026,CD-SP,P4,75,75,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000032,ORD-000027,CD-PR,P4,75,75,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000033,ORD-000028,CD-SP,P2,224,224,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000034,ORD-000029,CD-PE,P1,350,350,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000035,ORD-000030,CD-PE,P2,224,224,2025-09-01,2025-09-05,2025-09-08,5,0,0,0,1
OL-0000036,ORD-000031,CD-GO,P2,112,112,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000037,ORD-000032,CD-GO,P1,175,175,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000038,ORD-000033,CD-SP,P1,175,175,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000039,ORD-000034,CD-SP,P2,78,78,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000040,ORD-000035,CD-PE,P1,60,60,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000041,ORD-000035,CD-PE,P2,54,54,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000042,ORD-000036,CD-PE,P1,96,96,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000043,ORD-000037,CD-GO,P3,6,6,2025-09-01,2025-09-08,2025-09-04,3,0,0,1,1
OL-0000044,ORD-000038,CD-SP,P4,18,18,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000045,ORD-000039,CD-SP,P1,132,132,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000046,ORD-000039,CD-SP,P3,18,18,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000047,ORD-000040,CD-PE,P4,48,48,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000048,ORD-000041,CD-SP,P2,42,42,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000049,ORD-000042,CD-PR,P5,18,18,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000050,ORD-000043,CD-PR,P1,108,108,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000051,ORD-000043,CD-PR,P3,30,30,2025-09-01,2025-09-04,2025-09-03,2,0,0,1,1
OL-0000052,ORD-000044,CD-GO,P4,24,24,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000053,ORD-000045,CD-PR,P4,36,36,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000054,ORD-000046,CD-PR,P4,18,18,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000055,ORD-000047,CD-SP,P5,24,24,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000056,ORD-000048,CD-PE,P2,84,84,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000057,ORD-000048,CD-PE,P3,36,36,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000058,ORD-000049,CD-PR,P3,6,6,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000059,ORD-000050,CD-SP,P2,72,72,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000060,ORD-000051,CD-GO,P1,36,36,2025-09-01,2025-09-08,2025-09-08,5,0,0,1,1
OL-0000061,ORD-000051,CD-GO,P2,24,24,2025-09-01,2025-09-08,2025-09-08,5,0,0,1,1
OL-0000062,ORD-000051,CD-GO,P4,12,12,2025-09-01,2025-09-08,2025-09-04,3,0,0,1,1
OL-0000063,ORD-000052,CD-SP,P1,204,204,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000064,ORD-000052,CD-SP,P2,48,48,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000065,ORD-000053,CD-GO,P1,72,72,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000066,ORD-000054,CD-SP,P2,42,42,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000069,ORD-000057,CD-SP,P3,30,30,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000070,ORD-000058,CD-GO,P5,6,6,2025-09-01,2025-09-08,2025-09-04,3,0,0,1,1
OL-0000071,ORD-000059,CD-PE,P5,18,18,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000072,ORD-000060,CD-SP,P3,48,48,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000073,ORD-000060,CD-SP,P4,78,78,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000074,ORD-000061,CD-SP,P3,6,6,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000075,ORD-000062,CD-PR,P2,60,60,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000076,ORD-000063,CD-GO,P3,12,12,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000077,ORD-000063,CD-GO,P5,6,6,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000078,ORD-000064,CD-PR,P2,450,450,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000079,ORD-000065,CD-SP,P1,1400,1400,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000080,ORD-000065,CD-SP,P3,300,300,2025-09-02,2025-09-08,2025-09-05,3,0,0,1,1
OL-0000081,ORD-000066,CD-PR,P2,450,450,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000082,ORD-000067,CD-PE,P1,1400,1400,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000083,ORD-000067,CD-PE,P2,900,900,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000084,ORD-000068,CD-SP,P2,450,450,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000085,ORD-000069,CD-SP,P4,300,300,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000086,ORD-000070,CD-PR,P1,700,700,2025-09-02,2025-09-05,2025-09-04,2,0,0,1,1
OL-0000087,ORD-000070,CD-PR,P3,300,300,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000090,ORD-000072,CD-GO,P1,700,700,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000091,ORD-000072,CD-GO,P2,450,450,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000092,ORD-000073,CD-SP,P2,900,900,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000093,ORD-000073,CD-SP,P4,300,300,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000016,ORD-000011,CD-PE,P2,450,450,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000094,ORD-000074,CD-PE,P1,700,700,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000095,ORD-000074,CD-PE,P4,300,300,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000096,ORD-000075,CD-PR,P4,300,300,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000097,ORD-000076,CD-PE,P2,450,450,2025-09-02,2025-09-08,2025-09-10,6,0,0,0,1
OL-0000098,ORD-000077,CD-GO,P1,700,700,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000100,ORD-000079,CD-PR,P2,450,450,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000101,ORD-000080,CD-PR,P2,450,450,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000102,ORD-000081,CD-SP,P1,1400,1400,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000103,ORD-000082,CD-SP,P2,900,900,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000104,ORD-000082,CD-SP,P3,300,300,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000105,ORD-000083,CD-GO,P2,450,450,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000106,ORD-000084,CD-PR,P1,700,700,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000027,ORD-000022,CD-SP,P2,336,336,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000107,ORD-000085,CD-SP,P2,224,224,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000109,ORD-000087,CD-PR,P2,224,224,2025-09-02,2025-09-05,2025-09-05,3,0,0,1,1
OL-0000110,ORD-000088,CD-GO,P2,112,112,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000111,ORD-000089,CD-SP,P2,112,112,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000112,ORD-000090,CD-SP,P5,125,125,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000113,ORD-000091,CD-GO,P1,175,175,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000114,ORD-000092,CD-SP,P4,225,225,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000115,ORD-000093,CD-PE,P2,112,112,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000116,ORD-000094,CD-GO,P2,112,112,2025-09-02,2025-09-05,2025-09-04,2,0,0,1,1
OL-0000117,ORD-000094,CD-GO,P4,75,75,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000119,ORD-000096,CD-GO,P1,175,175,2025-09-02,2025-09-09,2025-09-05,3,0,0,1,1
OL-0000120,ORD-000097,CD-PR,P4,75,75,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000121,ORD-000098,CD-PR,P1,175,175,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000122,ORD-000098,CD-PR,P3,75,75,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000123,ORD-000099,CD-SP,P2,224,224,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000124,ORD-000100,CD-PR,P2,112,112,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000125,ORD-000101,CD-PE,P2,224,224,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000127,ORD-000103,CD-GO,P2,112,112,2025-09-02,2025-09-09,2025-09-05,3,0,0,1,1
OL-0000129,ORD-000105,CD-PE,P1,525,525,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000130,ORD-000106,CD-PE,P4,75,75,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000131,ORD-000107,CD-PE,P4,75,75,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000132,ORD-000108,CD-SP,P1,350,350,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000133,ORD-000109,CD-PR,P1,175,175,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000134,ORD-000110,CD-PR,P1,175,175,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000135,ORD-000111,CD-PE,P5,125,125,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000136,ORD-000112,CD-SP,P3,225,225,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000067,ORD-000055,CD-GO,P2,78,78,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000068,ORD-000056,CD-PR,P2,54,54,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000137,ORD-000113,CD-GO,P2,36,36,2025-09-02,2025-09-09,2025-09-05,3,0,0,1,1
OL-0000138,ORD-000114,CD-PE,P3,30,30,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000139,ORD-000115,CD-SP,P4,24,24,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000140,ORD-000116,CD-PE,P5,30,30,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000141,ORD-000117,CD-GO,P1,42,42,2025-09-02,2025-09-09,2025-09-05,3,0,0,1,1
OL-0000142,ORD-000118,CD-SP,P2,60,60,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000143,ORD-000119,CD-PE,P4,48,48,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000144,ORD-000120,CD-SP,P5,48,48,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000145,ORD-000121,CD-SP,P1,180,180,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000146,ORD-000122,CD-SP,P2,78,78,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000147,ORD-000122,CD-SP,P4,18,18,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000148,ORD-000123,CD-PE,P1,162,162,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000149,ORD-000124,CD-PE,P2,66,66,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000150,ORD-000125,CD-SP,P2,120,120,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000151,ORD-000126,CD-PR,P2,114,114,2025-09-02,2025-09-05,2025-09-04,2,0,0,1,1
OL-0000152,ORD-000127,CD-GO,P3,12,12,2025-09-02,2025-09-09,2025-09-08,4,0,0,1,1
OL-0000153,ORD-000128,CD-GO,P1,84,84,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000154,ORD-000129,CD-PR,P3,54,54,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000155,ORD-000129,CD-PR,P4,6,6,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000156,ORD-000130,CD-SP,P3,36,36,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000157,ORD-000131,CD-SP,P3,60,60,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000159,ORD-000133,CD-GO,P4,6,6,2025-09-02,2025-09-09,2025-09-05,3,0,0,1,1
OL-0000160,ORD-000134,CD-GO,P2,24,24,2025-09-02,2025-09-05,2025-09-04,2,0,0,1,1
OL-0000161,ORD-000134,CD-GO,P3,18,18,2025-09-02,2025-09-05,2025-09-05,3,0,0,1,1
OL-0000162,ORD-000135,CD-GO,P2,48,48,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000163,ORD-000135,CD-GO,P4,18,18,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000164,ORD-000135,CD-GO,P5,18,18,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000165,ORD-000136,CD-PR,P2,18,18,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000166,ORD-000137,CD-PE,P2,66,66,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000168,ORD-000139,CD-PR,P4,36,36,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000169,ORD-000140,CD-SP,P4,12,12,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000170,ORD-000141,CD-PR,P5,12,12,2025-09-02,2025-09-05,2025-09-03,1,0,0,1,1
OL-0000171,ORD-000142,CD-SP,P1,108,108,2025-09-02,2025-09-08,2025-09-04,2,0,0,1,1
OL-0000088,ORD-000071,CD-SP,P1,700,700,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000089,ORD-000071,CD-SP,P4,300,300,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000173,ORD-000144,CD-PR,P1,1400,1400,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000174,ORD-000144,CD-PR,P2,450,450,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000175,ORD-000144,CD-PR,P4,300,300,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000176,ORD-000145,CD-PE,P1,700,700,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000177,ORD-000145,CD-PE,P2,450,450,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000178,ORD-000145,CD-PE,P3,300,300,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000179,ORD-000145,CD-PE,P4,300,300,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000180,ORD-000146,CD-SP,P5,500,500,2025-09-03,2025-09-09,2025-09-09,4,0,0,1,1
OL-0000182,ORD-000148,CD-SP,P4,300,300,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000183,ORD-000149,CD-GO,P4,300,300,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000184,ORD-000150,CD-GO,P1,700,700,2025-09-03,2025-09-08,2025-09-08,3,0,0,1,1
OL-0000185,ORD-000150,CD-GO,P2,450,450,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000186,ORD-000151,CD-SP,P1,1400,1400,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000187,ORD-000151,CD-SP,P2,1350,1350,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000188,ORD-000151,CD-SP,P3,300,300,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000189,ORD-000151,CD-SP,P4,300,300,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000099,ORD-000078,CD-SP,P4,600,600,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000191,ORD-000153,CD-PR,P4,300,300,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000192,ORD-000154,CD-PE,P4,300,300,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000193,ORD-000155,CD-PE,P2,450,450,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000194,ORD-000156,CD-SP,P3,300,300,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000196,ORD-000158,CD-SP,P1,1400,1400,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000197,ORD-000159,CD-PR,P1,700,700,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000198,ORD-000159,CD-PR,P2,450,450,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000199,ORD-000160,CD-SP,P2,900,900,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000200,ORD-000160,CD-SP,P4,300,300,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000201,ORD-000161,CD-SP,P1,700,700,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000202,ORD-000162,CD-GO,P4,300,300,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000203,ORD-000163,CD-PE,P3,300,300,2025-09-03,2025-09-09,2025-09-10,5,0,0,0,1
OL-0000204,ORD-000164,CD-PR,P3,300,300,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000205,ORD-000165,CD-SP,P4,300,300,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000108,ORD-000086,CD-SP,P1,525,525,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000118,ORD-000095,CD-SP,P2,112,112,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000126,ORD-000102,CD-PR,P4,75,75,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000128,ORD-000104,CD-SP,P4,75,75,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000207,ORD-000167,CD-SP,P4,375,375,2025-09-03,2025-09-09,2025-09-08,3,0,0,1,1
OL-0000208,ORD-000168,CD-GO,P4,75,75,2025-09-03,2025-09-10,2025-09-08,3,0,0,1,1
OL-0000209,ORD-000169,CD-PE,P2,336,336,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000211,ORD-000171,CD-PE,P1,175,175,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000212,ORD-000172,CD-SP,P5,125,125,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000213,ORD-000173,CD-GO,P4,75,75,2025-09-03,2025-09-08,2025-09-05,2,0,0,1,1
OL-0000214,ORD-000174,CD-SP,P5,125,125,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000215,ORD-000175,CD-SP,P3,75,75,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000216,ORD-000176,CD-SP,P1,350,350,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000219,ORD-000179,CD-PR,P2,224,224,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000220,ORD-000180,CD-PR,P4,150,150,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000221,ORD-000181,CD-PR,P1,175,175,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000222,ORD-000182,CD-SP,P2,112,112,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000224,ORD-000184,CD-PE,P3,150,150,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000225,ORD-000185,CD-SP,P2,112,112,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000226,ORD-000186,CD-GO,P2,112,112,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000227,ORD-000187,CD-GO,P1,175,175,2025-09-03,2025-09-08,2025-09-08,3,0,0,1,1
OL-0000228,ORD-000188,CD-SP,P1,175,175,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000229,ORD-000189,CD-PR,P1,175,175,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000230,ORD-000190,CD-SP,P1,350,350,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000231,ORD-000191,CD-GO,P3,75,75,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000232,ORD-000192,CD-SP,P2,112,112,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000158,ORD-000132,CD-PR,P1,126,126,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000167,ORD-000138,CD-SP,P4,60,60,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000234,ORD-000194,CD-GO,P4,24,24,2025-09-03,2025-09-08,2025-09-09,4,0,0,0,1
OL-0000235,ORD-000195,CD-SP,P2,30,30,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000236,ORD-000196,CD-PE,P1,66,66,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000237,ORD-000196,CD-PE,P2,66,66,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000238,ORD-000196,CD-PE,P3,36,36,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000239,ORD-000196,CD-PE,P4,24,24,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000241,ORD-000198,CD-SP,P1,174,174,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000242,ORD-000199,CD-SP,P5,36,36,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000243,ORD-000200,CD-PE,P2,60,60,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000244,ORD-000201,CD-PE,P4,24,24,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
OL-0000245,ORD-000202,CD-GO,P1,30,30,2025-09-03,2025-09-10,2025-09-08,3,0,0,1,1
OL-0000246,ORD-000203,CD-PR,P3,18,18,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000247,ORD-000203,CD-PR,P5,12,12,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000248,ORD-000204,CD-PR,P1,54,54,2025-09-03,2025-09-08,2025-09-04,1,0,0,1,1
OL-0000249,ORD-000205,CD-SP,P4,42,42,2025-09-03,2025-09-09,2025-09-05,2,0,0,1,1
