dc_id,region,ship_date,transit_q50,transit_q90
CD-PR,NE,2026-09-11,8,10
CD-PR,N,2026-09-11,10,14
CD-GO,SE,2026-09-11,3,3
CD-GO,S,2026-09-11,5,5
CD-GO,CO,2026-09-11,1,3
CD-GO,NE,2026-09-11,5,7
CD-GO,N,2026-09-11,3,7
CD-PE,SE,2026-09-11,6,6
CD-PE,S,2026-09-11,8,8
CD-PE,CO,2026-09-11,5,6
CD-PE,NE,2026-09-11,2,4
CD-PE,N,2026-09-11,4,8
CD-SP,SE,2026-09-12,2,2
CD-SP,S,2026-09-12,3,3
CD-SP,CO,2026-09-12,4,5
CD-SP,NE,2026-09-12,6,7
CD-SP,N,2026-09-12,8,11
CD-PR,SE,2026-09-12,3,3
CD-PR,S,2026-09-12,1,2
CD-PR,CO,2026-09-12,5,6
CD-PR,NE,2026-09-12,8,10
CD-PR,N,2026-09-12,10,14
CD-GO,SE,2026-09-12,3,3
CD-GO,S,2026-09-12,5,5
CD-GO,CO,2026-09-12,1,3
CD-GO,NE,2026-09-12,5,7
CD-GO,N,2026-09-12,3,7
CD-PE,SE,2026-09-12,6,6
CD-PE,S,2026-09-12,8,8
CD-PE,CO,2026-09-12,5,6
CD-PE,NE,2026-09-12,2,4
CD-PE,N,2026-09-12,4,8
CD-SP,SE,2026-09-13,2,2
CD-SP,S,2026-09-13,3,3
CD-SP,CO,2026-09-13,4,5
CD-SP,NE,2026-09-13,6,7
CD-SP,N,2026-09-13,8,11
CD-PR,SE,2026-09-13,3,3
CD-PR,S,2026-09-13,1,2
CD-PR,CO,2026-09-13,5,6
CD-PR,NE,2026-09-13,8,10
CD-PR,N,2026-09-13,10,14
CD-GO,SE,2026-09-13,3,3
CD-GO,S,2026-09-13,5,5
CD-GO,CO,2026-09-13,1,3
CD-GO,NE,2026-09-13,5,7
CD-GO,N,2026-09-13,3,7
CD-PE,SE,2026-09-13,6,6
CD-PE,S,2026-09-13,8,8
CD-PE,CO,2026-09-13,5,6
CD-PE,NE,2026-09-13,2,4
CD-PE,N,2026-09-13,4,8
CD-SP,SE,2026-09-14,2,2
CD-SP,S,2026-09-14,3,3
CD-SP,CO,2026-09-14,4,5
CD-SP,NE,2026-09-14,6,7
CD-SP,N,2026-09-14,8,11
CD-PR,SE,2026-09-14,3,3
CD-PR,S,2026-09-14,1,2
CD-PR,CO,2026-09-14,5,6
CD-PR,NE,2026-09-14,8,10
CD-PR,N,2026-09-14,10,14
CD-GO,SE,2026-09-14,3,3
CD-GO,S,2026-09-14,5,5
CD-GO,CO,2026-09-14,1,3
CD-GO,NE,2026-09-14,5,7
CD-GO,N,2026-09-14,3,7
CD-PE,SE,2026-09-14,6,6
CD-PE,S,2026-09-14,8,8
CD-PE,CO,2026-09-14,5,6
CD-PE,NE,2026-09-14,2,4
CD-PE,N,2026-09-14,4,8
CD-SP,SE,2026-09-15,2,2
CD-SP,S,2026-09-15,3,3
CD-SP,CO,2026-09-15,4,5
CD-SP,NE,2026-09-15,6,7
CD-SP,N,2026-09-15,8,11
CD-PR,SE,2026-09-15,3,3
CD-PR,S,2026-09-15,1,2
CD-PR,CO,2026-09-15,5,6
CD-PR,NE,2026-09-15,8,10
CD-PR,N,2026-09-15,10,14
CD-GO,SE,2026-09-15,3,3
CD-GO,S,2026-09-15,5,5
CD-GO,CO,2026-09-15,1,3
CD-GO,NE,2026-09-15,5,7
CD-GO,N,2026-09-15,3,7
CD-PE,SE,2026-09-15,6,6
CD-PE,S,2026-09-15,8,8
CD-PE,CO,2026-09-15,5,6
CD-PE,NE,2026-09-15,2,4
CD-PE,N,2026-09-15,4,8
CD-SP,SE,2026-09-16,2,2
CD-SP,S,2026-09-16,3,3
CD-SP,CO,2026-09-16,4,5
CD-SP,NE,2026-09-16,6,7
CD-SP,N,2026-09-16,8,11
CD-PR,SE,2026-09-16,3,3
CD-PR,S,2026-09-16,1,2
CD-PR,CO,2026-09-16,5,6
CD-PR,NE,2026-09-16,8,10
CD-PR,N,2026-09-16,10,14
CD-GO,SE,2026-09-16,3,3
CD-GO,S,2026-09-16,5,5
CD-GO,CO,2026-09-16,1,3
CD-GO,NE,2026-09-16,5,7
CD-GO,N,2026-09-16,3,7
CD-PE,SE,2026-09-16,6,6
CD-PE,S,2026-09-16,8,8
CD-PE,CO,2026-09-16,5,6
CD-PE,NE,2026-09-16,2,4
CD-PE,N,2026-09-16,4,8
CD-SP,SE,2026-09-17,2,2
CD-SP,S,2026-09-17,3,3
CD-SP,CO,2026-09-17,4,5
CD-SP,NE,2026-09-17,6,7
CD-SP,N,2026-09-17,8,11
CD-PR,SE,2026-09-17,3,3
CD-PR,S,2026-09-17,1,2
CD-PR,CO,2026-09-17,5,6
CD-PR,NE,2026-09-17,8,10
CD-PR,N,2026-09-17,10,14
CD-GO,SE,2026-09-17,3,3
CD-GO,S,2026-09-17,5,5
CD-GO,CO,2026-09-17,1,3
CD-GO,NE,2026-09-17,5,7
CD-GO,N,2026-09-17,3,7
CD-PE,SE,2026-09-17,6,6
CD-PE,S,2026-09-17,8,8
CD-PE,CO,2026-09-17,5,6
CD-PE,NE,2026-09-17,2,4
CD-PE,N,2026-09-17,4,8
CD-SP,SE,2026-09-18,2,2
CD-SP,S,2026-09-18,3,3
CD-SP,CO,2026-09-18,4,5
CD-SP,NE,2026-09-18,6,7
CD-SP,N,2026-09-18,8,11
CD-PR,SE,2026-09-18,3,3
CD-PR,S,2026-09-18,1,2
CD-PR,CO,2026-09-18,5,6
CD-PR,NE,2026-09-18,8,10
CD-PR,N,2026-09-18,10,14
CD-GO,SE,2026-09-18,3,3
CD-GO,S,2026-09-18,5,5
CD-GO,CO,2026-09-18,1,3
CD-GO,NE,2026-09-18,5,7
CD-GO,N,2026-09-18,3,7
CD-PE,SE,2026-09-18,6,6
CD-PE,S,2026-09-18,8,8
CD-PE,CO,2026-09-18,5,6
CD-PE,NE,2026-09-18,2,4
CD-PE,N,2026-09-18,4,8
CD-SP,SE,2026-09-19,2,2
CD-SP,S,2026-09-19,3,3
CD-SP,CO,2026-09-19,4,5
CD-SP,NE,2026-09-19,6,7
CD-SP,N,2026-09-19,8,11
CD-PR,SE,2026-09-19,3,3
CD-PR,S,2026-09-19,1,2
CD-PR,CO,2026-09-19,5,6
CD-PR,NE,2026-09-19,8,10
CD-PR,N,2026-09-19,10,14
CD-GO,SE,2026-09-19,3,3
CD-GO,S,2026-09-19,5,5
CD-GO,CO,2026-09-19,1,3
CD-GO,NE,2026-09-19,5,7
CD-GO,N,2026-09-19,3,7
CD-PE,SE,2026-09-19,6,6
CD-PE,S,2026-09-19,8,8
CD-PE,CO,2026-09-19,5,6
CD-PE,NE,2026-09-19,2,4
CD-PE,N,2026-09-19,4,8
CD-SP,SE,2026-09-20,2,2
CD-SP,S,2026-09-20,3,3
CD-SP,CO,2026-09-20,4,5
CD-SP,NE,2026-09-20,6,7
CD-SP,N,2026-09-20,8,11
CD-PR,SE,2026-09-20,3,3
CD-PR,S,2026-09-20,1,2
CD-PR,CO,2026-09-20,5,6
CD-PR,NE,2026-09-20,8,10
CD-PR,N,2026-09-20,10,14
CD-GO,SE,2026-09-20,3,3
CD-GO,S,2026-09-20,5,5
CD-GO,CO,2026-09-20,1,3
CD-GO,NE,2026-09-20,5,7
CD-GO,N,2026-09-20,3,7
CD-PE,SE,2026-09-20,6,6
CD-PE,S,2026-09-20,8,8
CD-PE,CO,2026-09-20,5,6
CD-PE,NE,2026-09-20,2,4
CD-PE,N,2026-09-20,4,8
CD-SP,SE,2026-09-21,2,2
CD-SP,S,2026-09-21,3,3
CD-SP,CO,2026-09-21,4,5
CD-SP,NE,2026-09-21,6,7
CD-SP,N,2026-09-21,8,11
CD-PR,SE,2026-09-21,3,3
CD-PR,S,2026-09-21,1,2
CD-PR,CO,2026-09-21,5,6
CD-PR,NE,2026-09-21,8,10
CD-PR,N,2026-09-21,10,14
CD-GO,SE,2026-09-21,3,3
CD-GO,S,2026-09-21,5,5
CD-GO,CO,2026-09-21,1,3
CD-GO,NE,2026-09-21,5,7
CD-GO,N,2026-09-21,3,7
CD-PE,SE,2026-09-21,6,6
CD-PE,S,2026-09-21,8,8
CD-PE,CO,2026-09-21,5,6
CD-PE,NE,2026-09-21,2,4
CD-PE,N,2026-09-21,4,8
CD-SP,SE,2026-09-22,2,2
CD-SP,S,2026-09-22,3,3
CD-SP,CO,2026-09-22,4,5
CD-SP,NE,2026-09-22,6,7
CD-SP,N,2026-09-22,8,11
CD-PR,SE,2026-09-22,3,3
CD-PR,S,2026-09-22,1,2
CD-PR,CO,2026-09-22,5,6
CD-PR,NE,2026-09-22,8,10
CD-PR,N,2026-09-22,10,14
CD-GO,SE,2026-09-22,3,3
CD-GO,S,2026-09-22,5,5
CD-GO,CO,2026-09-22,1,3
CD-GO,NE,2026-09-22,5,7
CD-GO,N,2026-09-22,3,7
CD-PE,SE,2026-09-22,6,6
CD-PE,S,2026-09-22,8,8
CD-PE,CO,2026-09-22,5,6
CD-PE,NE,2026-09-22,2,4
CD-PE,N,2026-09-22,4,8
CD-SP,SE,2026-09-23,2,2
CD-SP,S,2026-09-23,3,3
CD-SP,CO,2026-09-23,4,5
CD-SP,NE,2026-09-23,6,7
CD-SP,N,2026-09-23,8,11
CD-PR,SE,2026-09-23,3,3
CD-PR,S,2026-09-23,1,2
CD-PR,CO,2026-09-23,5,6
CD-PR,NE,2026-09-23,8,10
CD-PR,N,2026-09-23,10,14
CD-GO,SE,2026-09-23,3,3
CD-GO,S,2026-09-23,5,5
CD-GO,CO,2026-09-23,1,3
CD-GO,NE,2026-09-23,5,7
CD-GO,N,2026-09-23,3,7
CD-PE,SE,2026-09-23,6,6
CD-PE,S,2026-09-23,8,8
CD-PE,CO,2026-09-23,5,6
CD-PE,NE,2026-09-23,2,4
CD-PE,N,2026-09-23,4,8
CD-SP,SE,2026-09-24,2,2
CD-SP,S,2026-09-24,3,3
CD-SP,CO,2026-09-24,4,5
CD-SP,NE,2026-09-24,6,7
CD-SP,N,2026-09-24,8,11
CD-PR,SE,2026-09-24,3,3
CD-PR,S,2026-09-24,1,2
CD-PR,CO,2026-09-24,5,6
CD-PR,NE,2026-09-24,8,10
CD-PR,N,2026-09-24,10,14
CD-GO,SE,2026-09-24,3,3
CD-GO,S,2026-09-24,5,5
CD-GO,CO,2026-09-24,1,3
CD-GO,NE,2026-09-24,5,7
CD-GO,N,2026-09-24,3,7
CD-PE,SE,2026-09-24,6,6
CD-PE,S,2026-09-24,8,8
CD-PE,CO,2026-09-24,5,6
CD-PE,NE,2026-09-24,2,4
CD-PE,N,2026-09-24,4,8
CD-SP,SE,2026-09-25,2,2
CD-SP,S,2026-09-25,3,3
CD-SP,CO,2026-09-25,4,5
CD-SP,NE,2026-09-25,6,7
CD-SP,N,2026-09-25,8,11
CD-PR,SE,2026-09-25,3,3
CD-PR,S,2026-09-25,1,2
CD-PR,CO,2026-09-25,5,6
CD-PR,NE,2026-09-25,8,10
CD-PR,N,2026-09-25,10,14
CD-GO,SE,2026-09-25,3,3
CD-GO,S,2026-09-25,5,5
CD-GO,CO,2026-09-25,1,3
CD-GO,NE,2026-09-25,5,7
CD-GO,N,2026-09-25,3,7
CD-PE,SE,2026-09-25,6,6
CD-PE,S,2026-09-25,8,8
CD-PE,CO,2026-09-25,5,6
CD-PE,NE,2026-09-25,2,4
CD-PE,N,2026-09-25,4,8
CD-SP,SE,2026-09-26,2,2
CD-SP,S,2026-09-26,3,3
CD-SP,CO,2026-09-26,4,5
CD-SP,NE,2026-09-26,6,7
CD-SP,N,2026-09-26,8,11
CD-PR,SE,2026-09-26,3,3
CD-PR,S,2026-09-26,1,2
CD-PR,CO,2026-09-26,5,6
CD-PR,NE,2026-09-26,8,10
CD-PR,N,2026-09-26,10,14
CD-GO,SE,2026-09-26,3,3
CD-GO,S,2026-09-26,5,5
CD-GO,CO,2026-09-26,1,3
CD-GO,NE,2026-09-26,5,7
CD-GO,N,2026-09-26,3,7
CD-PE,SE,2026-09-26,6,6
CD-PE,S,2026-09-26,8,8
CD-PE,CO,2026-09-26,5,6
CD-PE,NE,2026-09-26,2,4
CD-PE,N,2026-09-26,4,8
CD-SP,SE,2026-09-27,2,2
CD-SP,S,2026-09-27,3,3
CD-SP,CO,2026-09-27,4,5
CD-SP,NE,2026-09-27,6,7
CD-SP,N,2026-09-27,8,11
CD-PR,SE,2026-09-27,3,3
CD-PR,S,2026-09-27,1,2
CD-PR,CO,2026-09-27,5,6
CD-PR,NE,2026-09-27,8,10
CD-PR,N,2026-09-27,10,14
CD-GO,SE,2026-09-27,3,3
CD-GO,S,2026-09-27,5,5
CD-GO,CO,2026-09-27,1,3
CD-GO,NE,2026-09-27,5,7
CD-GO,N,2026-09-27,3,7
CD-PE,SE,2026-09-27,6,6
CD-PE,S,2026-09-27,8,8
CD-PE,CO,2026-09-27,5,6
CD-PE,NE,2026-09-27,2,4
CD-PE,N,2026-09-27,4,8
CD-SP,SE,2026-09-28,2,2
CD-SP,S,2026-09-28,3,3
CD-SP,CO,2026-09-28,4,5
CD-SP,NE,2026-09-28,6,7
CD-SP,N,2026-09-28,8,11
CD-PR,SE,2026-09-28,3,3
CD-PR,S,2026-09-28,1,2
CD-PR,CO,2026-09-28,5,6
CD-PR,NE,2026-09-28,8,10
CD-PR,N,2026-09-28,10,14
CD-GO,SE,2026-09-28,3,3
CD-GO,S,2026-09-28,5,5
CD-GO,CO,2026-09-28,1,3
CD-GO,NE,2026-09-28,5,7
CD-GO,N,2026-09-28,3,7
CD-PE,SE,2026-09-28,6,6
CD-PE,S,2026-09-28,8,8
CD-PE,CO,2026-09-28,5,6
CD-PE,NE,2026-09-28,2,4
CD-PE,N,2026-09-28,4,8
CD-SP,SE,2026-09-29,2,2
CD-SP,S,2026-09-29,3,3
CD-SP,CO,2026-09-29,4,5
CD-SP,NE,2026-09-29,6,7
CD-SP,N,2026-09-29,8,11
CD-PR,SE,2026-09-29,3,3
CD-PR,S,2026-09-29,1,2
CD-PR,CO,2026-09-29,5,6
CD-PR,NE,2026-09-29,8,10
CD-PR,N,2026-09-29,10,14
CD-GO,SE,2026-09-29,3,3
CD-GO,S,2026-09-29,5,5
CD-GO,CO,2026-09-29,1,3
CD-GO,NE,2026-09-29,5,7
CD-GO,N,2026-09-29,3,7
CD-PE,SE,2026-09-29,6,6
CD-PE,S,2026-09-29,8,8
CD-PE,CO,2026-09-29,5,6
CD-PE,NE,2026-09-29,2,4
CD-PE,N,2026-09-29,4,8
CD-SP,SE,2026-09-30,2,2
CD-SP,S,2026-09-30,3,3
CD-SP,CO,2026-09-30,4,5
CD-SP,NE,2026-09-30,6,7
CD-SP,N,2026-09-30,8,11
CD-PR,SE,2026-09-30,3,3
CD-PR,S,2026-09-30,1,2
CD-PR,CO,2026-09-30,5,6
CD-PR,NE,2026-09-30,8,10
CD-PR,N,2026-09-30,10,14
CD-GO,SE,2026-09-30,3,3
CD-GO,S,2026-09-30,5,5
CD-GO,CO,2026-09-30,1,3
CD-GO,NE,2026-09-30,5,7
CD-GO,N,2026-09-30,3,7
CD-PE,SE,2026-09-30,6,6
CD-PE,S,2026-09-30,8,8
CD-PE,CO,2026-09-30,5,6
CD-PE,NE,2026-09-30,2,4
CD-PE,N,2026-09-30,4,8
CD-SP,SE,2026-10-01,2,2
CD-SP,S,2026-10-01,3,3
CD-SP,CO,2026-10-01,4,5
CD-SP,NE,2026-10-01,6,7
CD-SP,N,2026-10-01,8,11
CD-PR,SE,2026-10-01,3,3
CD-PR,S,2026-10-01,1,2
CD-PR,CO,2026-10-01,5,6
CD-PR,NE,2026-10-01,8,10
CD-PR,N,2026-10-01,10,14
CD-GO,SE,2026-10-01,3,3
CD-GO,S,2026-10-01,5,5
CD-GO,CO,2026-10-01,1,3
CD-GO,NE,2026-10-01,5,7
CD-GO,N,2026-10-01,3,7
CD-PE,SE,2026-10-01,6,6
CD-PE,S,2026-10-01,8,8
CD-PE,CO,2026-10-01,5,6
CD-PE,NE,2026-10-01,2,4
CD-PE,N,2026-10-01,4,8
CD-SP,SE,2026-10-02,2,2
CD-SP,S,2026-10-02,3,3
CD-SP,CO,2026-10-02,4,5
CD-SP,NE,2026-10-02,6,7
CD-SP,N,2026-10-02,8,11
CD-PR,SE,2026-10-02,3,3
CD-PR,S,2026-10-02,1,2
CD-PR,CO,2026-10-02,5,6
CD-PR,NE,2026-10-02,8,10
CD-PR,N,2026-10-02,10,14
CD-GO,SE,2026-10-02,3,3
CD-GO,S,2026-10-02,5,5
CD-GO,CO,2026-10-02,1,3
CD-GO,NE,2026-10-02,5,7
CD-GO,N,2026-10-02,3,7
CD-PE,SE,2026-10-02,6,6
CD-PE,S,2026-10-02,8,8
CD-PE,CO,2026-10-02,5,6
CD-PE,NE,2026-10-02,2,4
CD-PE,N,2026-10-02,4,8
CD-SP,SE,2026-10-03,2,2
CD-SP,S,2026-10-03,3,3
CD-SP,CO,2026-10-03,4,5
CD-SP,NE,2026-10-03,6,7
CD-SP,N,2026-10-03,8,11
CD-PR,SE,2026-10-03,3,3
CD-PR,S,2026-10-03,1,2
CD-PR,CO,2026-10-03,5,6
CD-PR,NE,2026-10-03,8,10
CD-PR,N,2026-10-03,10,14
CD-GO,SE,2026-10-03,3,3
CD-GO,S,2026-10-03,5,5
CD-GO,CO,2026-10-03,1,3
CD-GO,NE,2026-10-03,5,7
CD-GO,N,2026-10-03,3,7
CD-PE,SE,2026-10-03,6,6
CD-PE,S,2026-10-03,8,8
CD-PE,CO,2026-10-03,5,6
CD-PE,NE,2026-10-03,2,4
CD-PE,N,2026-10-03,4,8
CD-SP,SE,2026-10-04,2,2
CD-SP,S,2026-10-04,3,3
CD-SP,CO,2026-10-04,4,5
CD-SP,NE,2026-10-04,6,7
CD-SP,N,2026-10-04,8,11
CD-PR,SE,2026-10-04,3,3
CD-PR,S,2026-10-04,1,2
CD-PR,CO,2026-10-04,5,6
CD-PR,NE,2026-10-04,8,10
CD-PR,N,2026-10-04,10,14
CD-GO,SE,2026-10-04,3,3
CD-GO,S,2026-10-04,5,5
CD-GO,CO,2026-10-04,1,3
CD-GO,NE,2026-10-04,5,7
CD-GO,N,2026-10-04,3,7
CD-PE,SE,2026-10-04,6,6
CD-PE,S,2026-10-04,8,8
CD-PE,CO,2026-10-04,5,6
CD-PE,NE,2026-10-04,2,4
CD-PE,N,2026-10-04,4,8
CD-SP,SE,2026-10-05,2,2
CD-SP,S,2026-10-05,3,3
CD-SP,CO,2026-10-05,4,5
CD-SP,NE,2026-10-05,6,7
CD-SP,N,2026-10-05,8,11
CD-PR,SE,2026-10-05,3,3
CD-PR,S,2026-10-05,1,2
CD-PR,CO,2026-10-05,5,6
CD-PR,NE,2026-10-05,8,10
CD-PR,N,2026-10-05,10,14
CD-GO,SE,2026-10-05,3,3
