date,dc_id,sku,on_hand,reserved_ka,in_transit,oldest_batch_date
2025-09-05,CD-PE,P4,14797,1229,1500,2025-08-23
2025-09-05,CD-PE,P5,4806,313,0,2025-09-04
2025-09-06,CD-SP,P1,50134,7821,0,2025-08-20
2025-09-06,CD-SP,P2,32727,4777,0,2025-08-15
2025-09-06,CD-SP,P3,9011,1215,0,2025-09-04
2025-09-06,CD-SP,P4,14541,2814,3900,2025-08-20
2025-09-06,CD-SP,P5,6175,704,0,2025-08-15
2025-09-06,CD-PR,P1,40151,3477,0,2025-08-23
2025-09-06,CD-PR,P2,24870,2124,0,2025-08-15
2025-09-06,CD-PR,P3,6143,540,0,2025-09-05
2025-09-06,CD-PR,P4,13396,1251,0,2025-08-11
2025-09-06,CD-PR,P5,4941,313,0,2025-08-27
2025-09-06,CD-GO,P1,27343,2609,0,2025-09-06
2025-09-06,CD-GO,P2,19751,1593,0,2025-08-17
2025-09-06,CD-GO,P3,5387,405,0,2025-08-26
2025-09-06,CD-GO,P4,9737,939,0,2025-08-21
2025-09-06,CD-GO,P5,3669,235,0,2025-08-19
2025-09-06,CD-PE,P1,53041,3480,0,2025-08-12
2025-09-06,CD-PE,P2,30810,2125,0,2025-08-16
2025-09-06,CD-PE,P3,6541,540,1200,2025-08-13
2025-09-06,CD-PE,P4,14797,1253,1500,2025-08-23
2025-09-06,CD-PE,P5,4806,313,0,2025-09-04
2025-09-07,CD-SP,P1,50134,7821,0,2025-08-20
2025-09-07,CD-SP,P2,32727,4777,0,2025-08-15
2025-09-07,CD-SP,P3,9011,1215,0,2025-09-04
2025-09-07,CD-SP,P4,14541,2814,3900,2025-08-20
2025-09-07,CD-SP,P5,6175,704,0,2025-08-15
2025-09-07,CD-PR,P1,40151,3477,0,2025-08-23
2025-09-07,CD-PR,P2,24870,2124,0,2025-08-15
2025-09-07,CD-PR,P3,6143,540,0,2025-09-05
2025-09-07,CD-PR,P4,13396,1251,0,2025-08-11
2025-09-07,CD-PR,P5,4941,313,0,2025-08-27
2025-09-07,CD-GO,P1,27343,2609,0,2025-09-06
2025-09-07,CD-GO,P2,19751,1593,0,2025-08-17
2025-09-07,CD-GO,P3,5387,405,0,2025-08-26
2025-09-07,CD-GO,P4,9737,939,0,2025-08-21
2025-09-07,CD-GO,P5,3669,235,0,2025-08-19
2025-09-07,CD-PE,P1,53041,3480,0,2025-08-12
2025-09-07,CD-PE,P2,30810,2125,0,2025-08-16
2025-09-07,CD-PE,P3,6541,540,1200,2025-08-13
2025-09-07,CD-PE,P4,14797,1253,1500,2025-08-23
2025-09-07,CD-PE,P5,4806,313,0,2025-09-04
2025-09-08,CD-SP,P1,44909,7821,24500,2025-08-20
2025-09-08,CD-SP,P2,28635,4777,13950,2025-08-15
2025-09-08,CD-SP,P3,8108,1215,3300,2025-09-04
2025-09-08,CD-SP,P4,12693,2814,13500,2025-08-20
2025-09-08,CD-SP,P5,5502,704,1500,2025-08-15
2025-09-08,CD-PR,P1,38951,3477,4200,2025-08-23
2025-09-08,CD-PR,P2,23176,2124,2700,2025-08-15
2025-09-08,CD-PR,P3,6101,540,1200,2025-09-05
2025-09-08,CD-PR,P4,13291,1251,3300,2025-08-11
2025-09-08,CD-PR,P5,4941,313,0,2025-08-27
2025-09-08,CD-GO,P1,25382,2609,5600,2025-09-06
2025-09-08,CD-GO,P2,18401,1593,0,2025-08-17
2025-09-08,CD-GO,P3,5351,405,0,2025-08-26
2025-09-08,CD-GO,P4,8933,939,2700,2025-08-21
2025-09-08,CD-GO,P5,3663,235,0,2025-08-19
2025-09-08,CD-PE,P1,51648,3480,0,2025-08-12
2025-09-08,CD-PE,P2,29448,2125,3600,2025-08-16
2025-09-08,CD-PE,P3,7243,540,1500,2025-09-08
2025-09-08,CD-PE,P4,15295,1253,4500,2025-09-08
2025-09-08,CD-PE,P5,4788,313,1000,2025-09-04
2025-09-09,CD-SP,P1,38238,7821,24500,2025-08-20
2025-09-09,CD-SP,P2,24417,4777,13950,2025-08-15
2025-09-09,CD-SP,P3,7469,1215,3300,2025-09-04
2025-09-09,CD-SP,P4,10248,2903,13500,2025-08-20
2025-09-09,CD-SP,P5,4686,704,1500,2025-08-15
2025-09-09,CD-PR,P1,36200,3477,4200,2025-08-23
2025-09-09,CD-PR,P2,21826,2124,2700,2025-08-15
2025-09-09,CD-PR,P3,5228,540,1200,2025-09-05
2025-09-09,CD-PR,P4,11758,1291,3300,2025-08-11
2025-09-09,CD-PR,P5,4268,313,0,2025-08-27
2025-09-09,CD-GO,P1,24104,2609,5600,2025-09-06
2025-09-09,CD-GO,P2,17643,1594,0,2025-08-17
2025-09-09,CD-GO,P3,4946,405,0,2025-08-26
2025-09-09,CD-GO,P4,8447,969,2700,2025-08-21
2025-09-09,CD-GO,P5,3657,235,0,2025-08-19
2025-09-09,CD-PE,P1,47672,3481,0,2025-08-12
2025-09-09,CD-PE,P2,27352,2126,3600,2025-08-16
2025-09-09,CD-PE,P3,6832,541,1500,2025-09-08
2025-09-09,CD-PE,P4,13579,1293,4500,2025-09-08
2025-09-09,CD-PE,P5,4663,313,1000,2025-09-04
2025-09-10,CD-SP,P1,33545,7821,24500,2025-08-20
2025-09-10,CD-SP,P2,19681,4777,13950,2025-08-15
2025-09-10,CD-SP,P3,5930,1215,3300,2025-09-04
2025-09-10,CD-SP,P4,12390,2986,9600,2025-09-10
2025-09-10,CD-SP,P5,4007,704,1500,2025-08-15
2025-09-10,CD-PR,P1,33618,3478,4200,2025-08-23
2025-09-10,CD-PR,P2,20108,2124,2700,2025-08-15
2025-09-10,CD-PR,P3,4823,540,1200,2025-09-05
2025-09-10,CD-PR,P4,11071,1328,3300,2025-08-11
2025-09-10,CD-PR,P5,4250,313,0,2025-08-27
2025-09-10,CD-GO,P1,21534,2610,5600,2025-09-06
2025-09-10,CD-GO,P2,17009,1594,0,2025-08-17
2025-09-10,CD-GO,P3,4841,405,0,2025-08-26
2025-09-10,CD-GO,P4,8411,997,2700,2025-08-21
2025-09-10,CD-GO,P5,3633,235,0,2025-08-19
2025-09-10,CD-PE,P1,45784,3483,0,2025-08-12
2025-09-10,CD-PE,P2,25800,2127,3600,2025-08-16
2025-09-10,CD-PE,P3,6409,541,1500,2025-09-08
2025-09-10,CD-PE,P4,12676,1331,4500,2025-09-08
2025-09-10,CD-PE,P5,4133,313,1000,2025-09-04
2025-09-11,CD-SP,P1,53581,7821,0,2025-09-11
2025-09-11,CD-SP,P2,30681,4777,0,2025-09-11
2025-09-11,CD-SP,P3,8420,1215,0,2025-09-11
2025-09-11,CD-SP,P4,20700,3064,0,2025-09-11
2025-09-11,CD-SP,P5,3328,704,1500,2025-08-15
2025-09-11,CD-PR,P1,30825,3478,4200,2025-08-23
2025-09-11,CD-PR,P2,18764,2124,2700,2025-08-15
2025-09-11,CD-PR,P3,4388,540,1200,2025-09-05
2025-09-11,CD-PR,P4,9046,1363,3300,2025-08-11
2025-09-11,CD-PR,P5,4125,313,0,2025-08-27
2025-09-11,CD-GO,P1,20394,2610,5600,2025-09-06
2025-09-11,CD-GO,P2,15831,1594,0,2025-08-17
2025-09-11,CD-GO,P3,4436,405,0,2025-08-26
2025-09-11,CD-GO,P4,7625,1023,2700,2025-08-21
2025-09-11,CD-GO,P5,3496,235,0,2025-08-19
2025-09-11,CD-PE,P1,43715,3484,0,2025-08-12
2025-09-11,CD-PE,P2,27700,2128,0,2025-09-11
2025-09-11,CD-PE,P3,6004,541,1500,2025-09-08
2025-09-11,CD-PE,P4,11965,1366,4500,2025-09-08
2025-09-11,CD-PE,P5,5127,313,0,2025-09-11
2025-09-12,CD-SP,P1,51977,7821,0,2025-09-11
2025-09-12,CD-SP,P2,28815,4777,0,2025-09-11
2025-09-12,CD-SP,P3,8060,1215,0,2025-09-11
2025-09-12,CD-SP,P4,19890,3135,0,2025-09-11
2025-09-12,CD-SP,P5,2798,704,1500,2025-08-15
2025-09-12,CD-PR,P1,33348,3478,0,2025-09-12
2025-09-12,CD-PR,P2,20480,2125,0,2025-09-12
2025-09-12,CD-PR,P3,5213,540,0,2025-09-12
2025-09-12,CD-PR,P4,12241,1395,0,2025-09-12
2025-09-12,CD-PR,P5,3607,313,0,2025-08-27
2025-09-12,CD-GO,P1,19435,2611,5600,2025-09-06
2025-09-12,CD-GO,P2,15641,1595,0,2025-08-17
2025-09-12,CD-GO,P3,4418,405,0,2025-08-26
2025-09-12,CD-GO,P4,7595,1047,2700,2025-08-21
2025-09-12,CD-GO,P5,3484,235,0,2025-08-19
2025-09-12,CD-PE,P1,42062,3486,0,2025-08-12
2025-09-12,CD-PE,P2,26480,2129,0,2025-09-11
2025-09-12,CD-PE,P3,5986,541,1500,2025-09-08
2025-09-12,CD-PE,P4,11467,1399,4500,2025-09-08
2025-09-12,CD-PE,P5,5109,314,0,2025-09-11
2025-09-13,CD-SP,P1,50577,7821,0,2025-09-11
2025-09-13,CD-SP,P2,28815,4777,0,2025-09-11
2025-09-13,CD-SP,P3,7985,1215,0,2025-09-11
2025-09-13,CD-SP,P4,19890,3188,0,2025-09-11
2025-09-13,CD-SP,P5,2798,704,1500,2025-08-15
2025-09-13,CD-PR,P1,33348,3479,0,2025-09-12
2025-09-13,CD-PR,P2,20256,2125,0,2025-09-12
2025-09-13,CD-PR,P3,5189,540,0,2025-09-12
2025-09-13,CD-PR,P4,12241,1418,0,2025-09-12
2025-09-13,CD-PR,P5,3607,313,0,2025-08-27
2025-09-13,CD-GO,P1,25035,2611,0,2025-09-13
2025-09-13,CD-GO,P2,15641,1595,0,2025-08-17
2025-09-13,CD-GO,P3,4418,406,0,2025-08-26
2025-09-13,CD-GO,P4,10220,1065,0,2025-09-13
2025-09-13,CD-GO,P5,3484,235,0,2025-08-19
2025-09-13,CD-PE,P1,42062,3487,0,2025-08-12
2025-09-13,CD-PE,P2,26480,2130,0,2025-09-11
2025-09-13,CD-PE,P3,5986,541,1500,2025-09-08
2025-09-13,CD-PE,P4,11467,1422,4500,2025-09-08
2025-09-13,CD-PE,P5,5109,314,0,2025-09-11
2025-09-14,CD-SP,P1,50577,7821,0,2025-09-11
2025-09-14,CD-SP,P2,28815,4777,0,2025-09-11
2025-09-14,CD-SP,P3,7985,1215,0,2025-09-11
2025-09-14,CD-SP,P4,19890,3188,0,2025-09-11
2025-09-14,CD-SP,P5,4298,704,0,2025-09-14
2025-09-14,CD-PR,P1,33348,3479,0,2025-09-12
2025-09-14,CD-PR,P2,20256,2125,0,2025-09-12
2025-09-14,CD-PR,P3,5189,540,0,2025-09-12
2025-09-14,CD-PR,P4,12241,1418,0,2025-09-12
2025-09-14,CD-PR,P5,3607,313,0,2025-08-27
2025-09-14,CD-GO,P1,25035,2611,0,2025-09-13
2025-09-14,CD-GO,P2,15641,1595,0,2025-08-17
2025-09-14,CD-GO,P3,4418,406,0,2025-08-26
2025-09-14,CD-GO,P4,10220,1065,0,2025-09-13
2025-09-14,CD-GO,P5,3484,235,0,2025-08-19
2025-09-14,CD-PE,P1,42062,3487,0,2025-08-12
2025-09-14,CD-PE,P2,26480,2130,0,2025-09-11
2025-09-14,CD-PE,P3,5986,541,1500,2025-09-08
2025-09-14,CD-PE,P4,11467,1422,4500,2025-09-08
2025-09-14,CD-PE,P5,5109,314,0,2025-09-11
2025-09-15,CD-SP,P1,43332,7821,23800,2025-09-11
2025-09-15,CD-SP,P2,23445,4777,15300,2025-09-11
2025-09-15,CD-SP,P3,6677,1215,4500,2025-09-11
2025-09-15,CD-SP,P4,18669,3188,12000,2025-09-11
2025-09-15,CD-SP,P5,4137,704,3500,2025-09-14
2025-09-15,CD-PR,P1,31653,3479,11200,2025-09-12
2025-09-15,CD-PR,P2,18562,2125,7200,2025-09-12
2025-09-15,CD-PR,P3,5072,540,1500,2025-09-12
2025-09-15,CD-PR,P4,11449,1418,6600,2025-09-12
2025-09-15,CD-PR,P5,3440,313,1000,2025-08-27
2025-09-15,CD-GO,P1,23171,2611,8400,2025-09-13
2025-09-15,CD-GO,P2,14415,1595,4950,2025-08-17
2025-09-15,CD-GO,P3,4313,406,1200,2025-08-26
2025-09-15,CD-GO,P4,9434,1065,3900,2025-09-13
2025-09-15,CD-GO,P5,2841,235,0,2025-08-19
2025-09-15,CD-PE,P1,39993,3487,13300,2025-08-12
2025-09-15,CD-PE,P2,25698,2130,8100,2025-09-11
2025-09-15,CD-PE,P3,6988,541,1800,2025-09-15
2025-09-15,CD-PE,P4,15469,1422,7800,2025-09-15
2025-09-15,CD-PE,P5,4960,314,500,2025-09-11
2025-09-16,CD-SP,P1,38476,7821,23800,2025-09-11
2025-09-16,CD-SP,P2,19985,4777,15300,2025-09-11
2025-09-16,CD-SP,P3,5738,1215,4500,2025-09-11
2025-09-16,CD-SP,P4,17079,3276,12000,2025-09-11
2025-09-16,CD-SP,P5,3976,704,3500,2025-09-14
2025-09-16,CD-PR,P1,28655,3479,11200,2025-09-12
2025-09-16,CD-PR,P2,17418,2125,7200,2025-09-12
2025-09-16,CD-PR,P3,4355,540,1500,2025-09-12
2025-09-16,CD-PR,P4,10639,1458,6600,2025-09-12
2025-09-16,CD-PR,P5,3410,313,1000,2025-08-27
2025-09-16,CD-GO,P1,22671,2612,8400,2025-09-13
2025-09-16,CD-GO,P2,14107,1595,4950,2025-08-17
2025-09-16,CD-GO,P3,4208,406,1200,2025-08-26
2025-09-16,CD-GO,P4,8999,1095,3900,2025-09-13
2025-09-16,CD-GO,P5,2829,235,0,2025-08-19
2025-09-16,CD-PE,P1,36488,3488,13300,2025-08-12
2025-09-16,CD-PE,P2,23548,2131,8100,2025-09-11
2025-09-16,CD-PE,P3,6958,542,1800,2025-09-15
2025-09-16,CD-PE,P4,14029,1462,7800,2025-09-15
2025-09-16,CD-PE,P5,4948,314,500,2025-09-11
2025-09-17,CD-SP,P1,35207,7821,23800,2025-09-11
2025-09-17,CD-SP,P2,16563,4777,15300,2025-09-11
2025-09-17,CD-SP,P3,4805,1215,4500,2025-09-11
2025-09-17,CD-SP,P4,14949,3359,12000,2025-09-11
2025-09-17,CD-SP,P5,3315,704,3500,2025-09-14
2025-09-17,CD-PR,P1,24987,3479,11200,2025-09-12
2025-09-17,CD-PR,P2,16070,2125,7200,2025-09-12
2025-09-17,CD-PR,P3,4205,540,1500,2025-09-12
2025-09-17,CD-PR,P4,9889,1495,6600,2025-09-12
2025-09-17,CD-PR,P5,2785,313,1000,2025-08-27
2025-09-17,CD-GO,P1,19419,2613,8400,2025-09-13
2025-09-17,CD-GO,P2,11863,1596,4950,2025-08-17
2025-09-17,CD-GO,P3,3197,406,1200,2025-08-26
2025-09-17,CD-GO,P4,8594,1123,3900,2025-09-13
2025-09-17,CD-GO,P5,2817,235,0,2025-08-19
2025-09-17,CD-PE,P1,34600,3490,13300,2025-08-12
2025-09-17,CD-PE,P2,22678,2132,8100,2025-09-11
2025-09-17,CD-PE,P3,6166,542,1800,2025-09-15
2025-09-17,CD-PE,P4,13156,1500,7800,2025-09-15
2025-09-17,CD-PE,P5,4323,314,500,2025-09-11
2025-09-18,CD-SP,P1,51876,7821,0,2025-09-18
2025-09-18,CD-SP,P2,28161,4777,0,2025-09-18
2025-09-18,CD-SP,P3,8477,1215,0,2025-09-18
2025-09-18,CD-SP,P4,24354,3437,0,2025-09-18
2025-09-18,CD-SP,P5,2630,704,3500,2025-09-14
2025-09-18,CD-PR,P1,23479,3480,11200,2025-09-12
2025-09-18,CD-PR,P2,14256,2125,7200,2025-09-12
2025-09-18,CD-PR,P3,3527,540,1500,2025-09-12
2025-09-18,CD-PR,P4,9343,1530,6600,2025-09-12
2025-09-18,CD-PR,P5,2761,313,1000,2025-08-27
2025-09-18,CD-GO,P1,19160,2613,8400,2025-09-13
2025-09-18,CD-GO,P2,11827,1596,4950,2025-08-17
2025-09-18,CD-GO,P3,3179,406,1200,2025-08-26
2025-09-18,CD-GO,P4,8120,1149,3900,2025-09-13
2025-09-18,CD-GO,P5,2305,235,0,2025-08-19
2025-09-18,CD-PE,P1,46024,3491,0,2025-09-18
2025-09-18,CD-PE,P2,29552,2132,0,2025-09-18
2025-09-18,CD-PE,P3,6061,542,1800,2025-09-15
2025-09-18,CD-PE,P4,12358,1536,7800,2025-09-15
2025-09-18,CD-PE,P5,4799,314,0,2025-09-18
2025-09-19,CD-SP,P1,48588,7821,0,2025-09-18
2025-09-19,CD-SP,P2,26325,4777,0,2025-09-18
2025-09-19,CD-SP,P3,7661,1215,0,2025-09-18
2025-09-19,CD-SP,P4,23076,3509,0,2025-09-18
2025-09-19,CD-SP,P5,2606,704,3500,2025-09-14
2025-09-19,CD-PR,P1,34088,3480,0,2025-09-19
2025-09-19,CD-PR,P2,20664,2126,0,2025-09-19
2025-09-19,CD-PR,P3,4922,540,0,2025-09-19
2025-09-19,CD-PR,P4,15226,1562,0,2025-09-19
2025-09-19,CD-PR,P5,2743,313,1000,2025-08-27
2025-09-19,CD-GO,P1,17332,2614,8400,2025-09-13
2025-09-19,CD-GO,P2,11519,1596,4950,2025-08-17
2025-09-19,CD-GO,P3,3086,406,1200,2025-08-26
2025-09-19,CD-GO,P4,7784,1173,3900,2025-09-13
2025-09-19,CD-GO,P5,2156,235,0,2025-08-19
2025-09-19,CD-PE,P1,44196,3493,0,2025-09-18
2025-09-19,CD-PE,P2,28326,2133,0,2025-09-18
2025-09-19,CD-PE,P3,5350,542,1800,2025-09-15
2025-09-19,CD-PE,P4,12253,1568,7800,2025-09-15
2025-09-19,CD-PE,P5,4781,314,0,2025-09-18
2025-09-20,CD-SP,P1,48510,7821,0,2025-09-18
2025-09-20,CD-SP,P2,26295,4777,0,2025-09-18
2025-09-20,CD-SP,P3,7661,1215,0,2025-09-18
2025-09-20,CD-SP,P4,23022,3561,0,2025-09-18
2025-09-20,CD-SP,P5,2606,704,3500,2025-09-14
2025-09-20,CD-PR,P1,33388,3480,0,2025-09-19
2025-09-20,CD-PR,P2,20148,2126,0,2025-09-19
2025-09-20,CD-PR,P3,4922,541,0,2025-09-19
2025-09-20,CD-PR,P4,15226,1585,0,2025-09-19
2025-09-20,CD-PR,P5,2743,313,1000,2025-08-27
2025-09-20,CD-GO,P1,25732,2614,0,2025-09-20
2025-09-20,CD-GO,P2,16469,1597,0,2025-09-20
2025-09-20,CD-GO,P3,4286,406,0,2025-09-20
2025-09-20,CD-GO,P4,11684,1191,0,2025-09-20
2025-09-20,CD-GO,P5,2156,235,0,2025-08-19
2025-09-20,CD-PE,P1,44196,3494,0,2025-09-18
2025-09-20,CD-PE,P2,28326,2134,0,2025-09-18
2025-09-20,CD-PE,P3,5350,543,1800,2025-09-15
2025-09-20,CD-PE,P4,12253,1592,7800,2025-09-15
2025-09-20,CD-PE,P5,4781,314,0,2025-09-18
2025-09-21,CD-SP,P1,48510,7821,0,2025-09-18
2025-09-21,CD-SP,P2,26295,4777,0,2025-09-18
2025-09-21,CD-SP,P3,7661,1215,0,2025-09-18
2025-09-21,CD-SP,P4,23022,3561,0,2025-09-18
2025-09-21,CD-SP,P5,6106,704,0,2025-09-21
2025-09-21,CD-PR,P1,33388,3480,0,2025-09-19
2025-09-21,CD-PR,P2,20148,2126,0,2025-09-19
2025-09-21,CD-PR,P3,4922,541,0,2025-09-19
2025-09-21,CD-PR,P4,15226,1585,0,2025-09-19
2025-09-21,CD-PR,P5,2743,313,1000,2025-08-27
2025-09-21,CD-GO,P1,25732,2614,0,2025-09-20
2025-09-21,CD-GO,P2,16469,1597,0,2025-09-20
2025-09-21,CD-GO,P3,4286,406,0,2025-09-20
2025-09-21,CD-GO,P4,11684,1191,0,2025-09-20
2025-09-21,CD-GO,P5,2156,235,0,2025-08-19
2025-09-21,CD-PE,P1,44196,3494,0,2025-09-18
2025-09-21,CD-PE,P2,28326,2134,0,2025-09-18
2025-09-21,CD-PE,P3,5350,543,1800,2025-09-15
2025-09-21,CD-PE,P4,12253,1592,7800,2025-09-15
2025-09-21,CD-PE,P5,4781,314,0,2025-09-18
2025-09-22,CD-SP,P1,44088,7821,25900,2025-09-18
2025-09-22,CD-SP,P2,21907,4777,20250,2025-09-18
2025-09-22,CD-SP,P3,6503,1215,4800,2025-09-18
2025-09-22,CD-SP,P4,20679,3561,12600,2025-09-18
2025-09-22,CD-SP,P5,5951,704,1500,2025-09-21
2025-09-22,CD-PR,P1,31506,3480,11200,2025-09-19
2025-09-22,CD-PR,P2,18910,2126,7650,2025-09-19
2025-09-22,CD-PR,P3,4430,541,1500,2025-09-19
2025-09-22,CD-PR,P4,14434,1585,6000,2025-09-19
2025-09-22,CD-PR,P5,2082,313,2000,2025-08-27
2025-09-22,CD-GO,P1,25455,2614,7700,2025-09-20
2025-09-22,CD-GO,P2,15119,1597,4500,2025-09-20
2025-09-22,CD-GO,P3,4181,406,1200,2025-09-20
2025-09-22,CD-GO,P4,11267,1191,4200,2025-09-20
2025-09-22,CD-GO,P5,2126,235,1500,2025-08-19
2025-09-22,CD-PE,P1,41602,3494,11200,2025-09-18
2025-09-22,CD-PE,P2,26526,2134,6300,2025-09-18
2025-09-22,CD-PE,P3,7033,543,2100,2025-09-22
2025-09-22,CD-PE,P4,19336,1592,6600,2025-09-22
2025-09-22,CD-PE,P5,4251,314,1000,2025-09-18
2025-09-23,CD-SP,P1,37724,7821,25900,2025-09-18
2025-09-23,CD-SP,P2,18361,4777,20250,2025-09-18
2025-09-23,CD-SP,P3,6293,1215,4800,2025-09-18
2025-09-23,CD-SP,P4,18609,3649,12600,2025-09-18
2025-09-23,CD-SP,P5,5117,704,1500,2025-09-21
2025-09-23,CD-PR,P1,28001,3481,11200,2025-09-19
2025-09-23,CD-PR,P2,17098,2126,7650,2025-09-19
2025-09-23,CD-PR,P3,4013,541,1500,2025-09-19
