receipt_id,plant_id,dc_id,sku,qty,order_date,eta_date,confirmed
RCP-000026,PL-01,CD-SP,P3,4500,2025-09-15,2025-09-18,1
RCP-000027,PL-01,CD-SP,P1,23800,2025-09-15,2025-09-18,1
RCP-000028,PL-01,CD-PR,P4,6600,2025-09-15,2025-09-19,1
RCP-000029,PL-01,CD-PR,P3,1500,2025-09-15,2025-09-19,1
RCP-000030,PL-01,CD-GO,P4,3900,2025-09-15,2025-09-20,1
RCP-000031,PL-01,CD-PR,P2,7200,2025-09-15,2025-09-19,1
RCP-000032,PL-01,CD-GO,P2,4950,2025-09-15,2025-09-20,1
RCP-000033,PL-01,CD-PR,P1,11200,2025-09-15,2025-09-19,1
RCP-000034,PL-01,CD-GO,P1,8400,2025-09-15,2025-09-20,1
RCP-000035,PL-02,CD-PR,P5,1000,2025-09-15,2025-09-23,1
RCP-000036,PL-01,CD-GO,P3,1200,2025-09-15,2025-09-20,1
RCP-000037,PL-01,CD-PE,P4,7800,2025-09-15,2025-09-22,1
RCP-000038,PL-02,CD-PE,P1,13300,2025-09-15,2025-09-18,1
RCP-000039,PL-02,CD-PE,P2,8100,2025-09-15,2025-09-18,1
RCP-000040,PL-01,CD-PE,P3,1800,2025-09-15,2025-09-22,1
RCP-000041,PL-02,CD-PE,P5,500,2025-09-15,2025-09-18,1
RCP-000042,PL-01,CD-SP,P2,20250,2025-09-22,2025-09-25,1
RCP-000043,PL-01,CD-SP,P3,4800,2025-09-22,2025-09-25,1
RCP-000044,PL-01,CD-SP,P4,12600,2025-09-22,2025-09-25,1
RCP-000045,PL-01,CD-SP,P1,25900,2025-09-22,2025-09-25,1
RCP-000046,PL-02,CD-SP,P5,1500,2025-09-22,2025-09-28,1
RCP-000047,PL-02,CD-GO,P5,1500,2025-09-22,2025-09-28,1
RCP-000048,PL-01,CD-PR,P3,1500,2025-09-22,2025-09-26,1
RCP-000049,PL-01,CD-PR,P4,6000,2025-09-22,2025-09-26,1
RCP-000050,PL-01,CD-PR,P2,7650,2025-09-22,2025-09-26,1
RCP-000051,PL-01,CD-GO,P4,4200,2025-09-22,2025-09-30,1
RCP-000052,PL-01,CD-PR,P1,11200,2025-09-22,2025-09-26,1
RCP-000053,PL-01,CD-GO,P3,1200,2025-09-22,2025-09-27,1
RCP-000054,PL-01,CD-GO,P1,7700,2025-09-22,2025-09-27,1
RCP-000055,PL-01,CD-GO,P2,4500,2025-09-22,2025-09-27,1
RCP-000056,PL-02,CD-PR,P5,1000,2025-09-22,2025-10-02,1
RCP-000057,PL-01,CD-PE,P4,6600,2025-09-22,2025-09-29,1
RCP-000058,PL-01,CD-PE,P3,2100,2025-09-22,2025-09-29,1
RCP-000059,PL-02,CD-PE,P1,11200,2025-09-22,2025-09-25,1
RCP-000060,PL-02,CD-PE,P2,6300,2025-09-22,2025-09-25,1
RCP-000061,PL-02,CD-PE,P5,1000,2025-09-22,2025-09-25,1
RCP-000062,PL-01,CD-SP,P1,25900,2025-09-29,2025-10-02,1
RCP-000063,PL-01,CD-SP,P2,2700,2025-09-29,2025-10-02,1
RCP-000064,PL-02,CD-SP,P2,13050,2025-09-29,2025-10-05,1
RCP-000065,PL-02,CD-SP,P5,2500,2025-09-29,2025-10-05,1
RCP-000066,PL-02,CD-PR,P5,1000,2025-09-29,2025-10-07,1
RCP-000067,PL-02,CD-PR,P2,6750,2025-09-29,2025-10-10,1
RCP-000068,PL-02,CD-PR,P1,10500,2025-09-29,2025-10-11,1
RCP-000069,PL-02,CD-GO,P2,4950,2025-09-29,2025-10-05,1
RCP-000070,PL-02,CD-GO,P1,5600,2025-09-29,2025-10-05,1
RCP-000071,PL-02,CD-GO,P5,500,2025-09-29,2025-10-05,1
RCP-000072,PL-02,CD-PE,P5,1500,2025-09-29,2025-10-02,1
RCP-000073,PL-02,CD-PE,P2,7650,2025-09-29,2025-10-02,1
RCP-000074,PL-02,CD-PE,P1,11200,2025-09-29,2025-10-02,1
RCP-000075,PL-01,CD-SP,P4,25800,2025-10-06,2025-10-09,1
RCP-000076,PL-01,CD-SP,P3,6900,2025-10-06,2025-10-09,1
RCP-000077,PL-01,CD-PR,P3,4500,2025-10-06,2025-10-10,1
RCP-000078,PL-01,CD-GO,P3,2700,2025-10-06,2025-10-11,1
RCP-000079,PL-01,CD-SP,P2,15750,2025-10-06,2025-10-09,1
RCP-000080,PL-02,CD-SP,P5,2500,2025-10-06,2025-10-12,1
RCP-000081,PL-01,CD-PR,P4,11700,2025-10-06,2025-10-10,1
RCP-000082,PL-01,CD-SP,P1,22400,2025-10-06,2025-10-14,1
RCP-000083,PL-01,CD-GO,P4,8400,2025-10-06,2025-10-11,1
RCP-000084,PL-01,CD-PE,P4,14100,2025-10-06,2025-10-13,1
RCP-000085,PL-01,CD-PR,P2,5850,2025-10-06,2025-10-10,1
RCP-000086,PL-01,CD-PR,P1,11200,2025-10-06,2025-10-10,1
RCP-000087,PL-01,CD-GO,P1,7700,2025-10-06,2025-10-11,1
RCP-000088,PL-01,CD-PE,P3,3600,2025-10-06,2025-10-13,1
RCP-000089,PL-02,CD-PR,P5,1000,2025-10-06,2025-10-14,1
RCP-000090,PL-01,CD-GO,P2,4050,2025-10-06,2025-10-11,1
RCP-000091,PL-02,CD-GO,P5,500,2025-10-06,2025-10-12,1
RCP-000092,PL-02,CD-PE,P5,1000,2025-10-06,2025-10-09,1
RCP-000093,PL-02,CD-PE,P1,10500,2025-10-06,2025-10-09,1
RCP-000094,PL-02,CD-PE,P2,6300,2025-10-06,2025-10-09,1
RCP-000095,PL-01,CD-SP,P4,18600,2025-10-13,2025-10-16,1
RCP-000096,PL-01,CD-SP,P3,4800,2025-10-13,2025-10-16,1
RCP-000097,PL-01,CD-SP,P1,27300,2025-10-13,2025-10-16,1
RCP-000098,PL-01,CD-SP,P2,16200,2025-10-13,2025-10-16,1
RCP-000099,PL-02,CD-SP,P5,1500,2025-10-13,2025-10-19,1
RCP-000100,PL-02,CD-GO,P5,1500,2025-10-13,2025-10-19,1
RCP-000101,PL-01,CD-GO,P2,7200,2025-10-13,2025-10-18,1
RCP-000102,PL-01,CD-PR,P3,2400,2025-10-13,2025-10-17,1
RCP-000103,PL-01,CD-PR,P2,9000,2025-10-13,2025-10-17,1
RCP-000104,PL-01,CD-PR,P4,8400,2025-10-13,2025-10-17,1
RCP-000105,PL-01,CD-PR,P1,13300,2025-10-13,2025-10-17,1
RCP-000106,PL-01,CD-GO,P4,5100,2025-10-13,2025-10-18,1
RCP-000107,PL-01,CD-GO,P1,8400,2025-10-13,2025-10-18,1
RCP-000108,PL-01,CD-GO,P3,1500,2025-10-13,2025-10-18,1
RCP-000109,PL-02,CD-PR,P5,1000,2025-10-13,2025-10-21,1
RCP-000110,PL-01,CD-PE,P3,2700,2025-10-13,2025-10-20,1
RCP-000111,PL-02,CD-PE,P1,14000,2025-10-13,2025-10-16,1
RCP-000112,PL-01,CD-PE,P4,7800,2025-10-13,2025-10-20,1
RCP-000113,PL-02,CD-PE,P2,8100,2025-10-13,2025-10-16,1
RCP-000114,PL-02,CD-PE,P5,500,2025-10-13,2025-10-16,1
RCP-000115,PL-01,CD-SP,P4,18600,2025-10-20,2025-10-23,1
RCP-000116,PL-01,CD-SP,P1,28700,2025-10-20,2025-10-23,1
RCP-000117,PL-01,CD-SP,P3,4800,2025-10-20,2025-10-23,1
RCP-000118,PL-02,CD-SP,P5,2500,2025-10-20,2025-10-26,1
RCP-000119,PL-01,CD-SP,P2,15300,2025-10-20,2025-10-23,1
RCP-000120,PL-01,CD-GO,P2,1800,2025-10-20,2025-10-25,1
RCP-000121,PL-02,CD-GO,P2,6750,2025-10-20,2025-10-26,1
RCP-000122,PL-02,CD-PR,P5,1500,2025-10-20,2025-10-28,1
RCP-000123,PL-02,CD-PR,P1,13300,2025-10-20,2025-10-28,1
RCP-000124,PL-02,CD-GO,P1,9100,2025-10-20,2025-10-26,1
RCP-000125,PL-02,CD-PR,P2,6750,2025-10-20,2025-10-28,1
RCP-000126,PL-02,CD-GO,P5,500,2025-10-20,2025-10-28,1
RCP-000127,PL-02,CD-PE,P5,1500,2025-10-20,2025-10-23,1
RCP-000128,PL-02,CD-PE,P2,9000,2025-10-20,2025-10-23,1
RCP-000129,PL-02,CD-PE,P1,13300,2025-10-20,2025-10-23,1
RCP-000130,PL-02,CD-SP,P5,3000,2025-10-27,2025-11-02,1
RCP-000131,PL-02,CD-SP,P1,22400,2025-10-27,2025-11-02,1
RCP-000132,PL-02,CD-SP,P2,13500,2025-10-27,2025-11-02,1
RCP-000133,PL-02,CD-GO,P2,5850,2025-10-27,2025-11-02,1
RCP-000134,PL-02,CD-PR,P2,4500,2025-10-27,2025-11-04,1
RCP-000135,PL-01,CD-PR,P4,24900,2025-11-03,2025-11-07,1
RCP-000136,PL-01,CD-SP,P3,9000,2025-11-03,2025-11-06,1
RCP-000137,PL-01,CD-PR,P3,6000,2025-11-03,2025-11-07,1
RCP-000138,PL-01,CD-SP,P4,32700,2025-11-03,2025-11-06,1
RCP-000139,PL-01,CD-GO,P4,16500,2025-11-03,2025-11-08,1
RCP-000140,PL-01,CD-GO,P3,3900,2025-11-03,2025-11-08,1
RCP-000141,PL-02,CD-SP,P5,3000,2025-11-03,2025-11-11,1
RCP-000142,PL-01,CD-PE,P4,22500,2025-11-03,2025-11-10,1
RCP-000143,PL-01,CD-PE,P3,6900,2025-11-03,2025-11-10,1
RCP-000144,PL-01,CD-SP,P2,17100,2025-11-03,2025-11-06,1
RCP-000145,PL-01,CD-SP,P1,26600,2025-11-03,2025-11-06,1
RCP-000146,PL-02,CD-PE,P5,3000,2025-11-03,2025-11-06,1
RCP-000147,PL-01,CD-PR,P1,22400,2025-11-03,2025-11-07,1
RCP-000148,PL-02,CD-GO,P5,1500,2025-11-03,2025-11-09,1
RCP-000149,PL-01,CD-GO,P1,15400,2025-11-03,2025-11-08,1
RCP-000150,PL-02,CD-PR,P5,1000,2025-11-03,2025-11-11,1
RCP-000151,PL-01,CD-PR,P2,10350,2025-11-03,2025-11-07,1
RCP-000152,PL-02,CD-PE,P1,25900,2025-11-03,2025-11-06,1
RCP-000153,PL-02,CD-PE,P2,14850,2025-11-03,2025-11-06,1
RCP-000154,PL-01,CD-GO,P2,4500,2025-11-03,2025-11-08,1
RCP-000155,PL-02,CD-SP,P5,3000,2025-11-10,2025-11-16,1
RCP-000156,PL-01,CD-SP,P2,18900,2025-11-10,2025-11-13,1
RCP-000157,PL-01,CD-SP,P1,30800,2025-11-10,2025-11-13,1
RCP-000158,PL-02,CD-PR,P5,2500,2025-11-10,2025-11-18,1
RCP-000159,PL-01,CD-SP,P4,16500,2025-11-10,2025-11-13,1
RCP-000160,PL-01,CD-SP,P3,4500,2025-11-10,2025-11-13,1
RCP-000161,PL-01,CD-PR,P3,2700,2025-11-10,2025-11-14,1
RCP-000162,PL-01,CD-PR,P1,14700,2025-11-10,2025-11-14,1
RCP-000163,PL-01,CD-PR,P2,8100,2025-11-10,2025-11-14,1
RCP-000164,PL-01,CD-GO,P2,5850,2025-11-10,2025-11-15,1
RCP-000165,PL-01,CD-GO,P3,1500,2025-11-10,2025-11-15,1
RCP-000166,PL-01,CD-GO,P1,8400,2025-11-10,2025-11-15,1
RCP-000167,PL-01,CD-PR,P4,6000,2025-11-10,2025-11-14,1
RCP-000168,PL-01,CD-GO,P4,4200,2025-11-10,2025-11-15,1
RCP-000169,PL-02,CD-PE,P5,2000,2025-11-10,2025-11-18,1
RCP-000170,PL-02,CD-PE,P1,15400,2025-11-10,2025-11-13,1
RCP-000171,PL-01,CD-PE,P3,2700,2025-11-10,2025-11-17,1
RCP-000172,PL-01,CD-PE,P4,600,2025-11-10,2025-11-17,1
RCP-000173,PL-02,CD-PE,P2,8550,2025-11-10,2025-11-13,1
RCP-000174,PL-02,CD-SP,P2,19800,2025-11-17,2025-11-23,1
RCP-000175,PL-02,CD-PR,P1,26600,2025-11-17,2025-11-25,1
RCP-000176,PL-02,CD-SP,P1,30100,2025-11-17,2025-11-23,1
RCP-000177,PL-02,CD-SP,P5,2500,2025-11-17,2025-11-23,1
RCP-000178,PL-02,CD-PR,P2,1800,2025-11-17,2025-11-25,1
RCP-000179,PL-01,CD-SP,P4,46200,2025-12-01,2025-12-04,1
RCP-000180,PL-01,CD-SP,P3,15600,2025-12-01,2025-12-04,1
RCP-000181,PL-01,CD-PE,P4,31800,2025-12-01,2025-12-08,1
RCP-000182,PL-01,CD-PR,P4,23700,2025-12-01,2025-12-05,1
RCP-000183,PL-01,CD-GO,P4,16500,2025-12-01,2025-12-06,1
RCP-000184,PL-01,CD-PR,P3,7200,2025-12-01,2025-12-05,1
RCP-000185,PL-01,CD-PR,P2,22950,2025-12-01,2025-12-05,1
RCP-000186,PL-01,CD-SP,P2,33300,2025-12-01,2025-12-04,1
RCP-000187,PL-01,CD-SP,P1,53900,2025-12-01,2025-12-04,1
RCP-000188,PL-02,CD-GO,P5,2500,2025-12-01,2025-12-11,1
RCP-000189,PL-02,CD-SP,P5,4500,2025-12-01,2025-12-07,1
RCP-000190,PL-01,CD-PR,P1,35700,2025-12-01,2025-12-05,1
RCP-000191,PL-01,CD-GO,P2,16200,2025-12-01,2025-12-06,1
RCP-000192,PL-01,CD-GO,P1,25900,2025-12-01,2025-12-06,1
RCP-000193,PL-01,CD-GO,P3,4500,2025-12-01,2025-12-06,1
RCP-000194,PL-02,CD-PR,P5,2500,2025-12-01,2025-12-09,1
RCP-000195,PL-02,CD-PE,P1,43400,2025-12-01,2025-12-04,1
RCP-000196,PL-02,CD-PE,P2,18900,2025-12-01,2025-12-04,1
RCP-000197,PL-01,CD-PE,P3,7500,2025-12-01,2025-12-08,1
RCP-000198,PL-02,CD-PE,P5,1500,2025-12-01,2025-12-04,1
RCP-000199,PL-01,CD-SP,P4,6900,2025-12-08,2025-12-15,1
RCP-000200,PL-02,CD-SP,P1,29400,2025-12-08,2025-12-14,1
RCP-000201,PL-02,CD-SP,P2,15750,2025-12-08,2025-12-14,1
RCP-000202,PL-02,CD-SP,P5,1500,2025-12-08,2025-12-14,1
RCP-000203,PL-02,CD-PE,P5,2500,2025-12-08,2025-12-11,1
RCP-000204,PL-02,CD-PR,P1,11200,2025-12-08,2025-12-16,1
RCP-000205,PL-02,CD-PR,P2,6750,2025-12-08,2025-12-16,1
RCP-000206,PL-02,CD-PR,P5,1000,2025-12-08,2025-12-18,1
RCP-000207,PL-02,CD-GO,P1,7000,2025-12-08,2025-12-14,1
RCP-000208,PL-02,CD-PE,P2,6300,2025-12-08,2025-12-11,1
RCP-000209,PL-01,CD-SP,P1,67200,2026-01-05,2026-01-08,1
RCP-000210,PL-01,CD-SP,P4,11100,2026-01-05,2026-01-08,1
RCP-000211,PL-01,CD-PR,P2,25650,2026-01-05,2026-01-09,1
RCP-000212,PL-01,CD-PR,P4,6600,2026-01-05,2026-01-09,1
RCP-000213,PL-01,CD-GO,P4,5100,2026-01-05,2026-01-10,1
RCP-000214,PL-01,CD-PE,P4,8700,2026-01-05,2026-01-12,1
RCP-000215,PL-02,CD-PE,P5,6000,2026-01-05,2026-01-12,1
RCP-000216,PL-01,CD-GO,P2,19350,2026-01-05,2026-01-10,1
RCP-000217,PL-02,CD-PE,P2,32850,2026-01-05,2026-01-08,1
RCP-000218,PL-01,CD-PR,P1,39900,2026-01-05,2026-01-09,1
RCP-000219,PL-01,CD-PE,P3,8100,2026-01-05,2026-01-12,1
RCP-000220,PL-01,CD-SP,P2,42750,2026-01-05,2026-01-08,1
RCP-000221,PL-02,CD-PE,P1,51100,2026-01-05,2026-01-08,1
RCP-000222,PL-01,CD-SP,P3,10500,2026-01-05,2026-01-08,1
RCP-000223,PL-02,CD-SP,P5,8000,2026-01-05,2026-01-11,1
RCP-000224,PL-01,CD-GO,P3,4800,2026-01-05,2026-01-10,1
RCP-000225,PL-01,CD-GO,P1,30100,2026-01-05,2026-01-10,1
RCP-000226,PL-01,CD-PR,P3,6300,2026-01-05,2026-01-09,1
RCP-000227,PL-02,CD-PR,P5,4500,2026-01-05,2026-01-19,1
RCP-000228,PL-02,CD-GO,P5,3500,2026-01-05,2026-01-11,1
RCP-000229,PL-01,CD-SP,P4,10500,2026-01-12,2026-01-15,1
RCP-000230,PL-01,CD-PR,P4,6300,2026-01-12,2026-01-16,1
RCP-000231,PL-01,CD-SP,P3,10800,2026-01-12,2026-01-15,1
RCP-000232,PL-01,CD-SP,P2,27450,2026-01-12,2026-01-15,1
RCP-000233,PL-02,CD-SP,P5,5000,2026-01-12,2026-01-18,1
RCP-000234,PL-01,CD-SP,P1,1400,2026-01-12,2026-01-15,1
RCP-000235,PL-02,CD-SP,P1,42000,2026-01-12,2026-01-21,1
RCP-000236,PL-02,CD-PE,P2,9000,2026-01-12,2026-01-15,1
RCP-000237,PL-01,CD-GO,P4,3300,2026-02-02,2026-02-07,1
RCP-000238,PL-01,CD-SP,P2,38700,2026-02-02,2026-02-05,1
RCP-000239,PL-02,CD-PE,P1,46900,2026-02-02,2026-02-05,1
RCP-000240,PL-01,CD-PR,P2,23400,2026-02-02,2026-02-06,1
RCP-000241,PL-02,CD-PE,P2,29700,2026-02-02,2026-02-05,1
RCP-000242,PL-01,CD-GO,P2,17550,2026-02-02,2026-02-07,1
RCP-000243,PL-01,CD-PR,P3,5700,2026-02-02,2026-02-06,1
RCP-000244,PL-01,CD-PE,P4,5700,2026-02-02,2026-02-09,1
RCP-000245,PL-01,CD-SP,P3,9300,2026-02-02,2026-02-05,1
RCP-000246,PL-01,CD-PR,P1,35000,2026-02-02,2026-02-06,1
RCP-000247,PL-02,CD-SP,P5,6500,2026-02-02,2026-02-08,1
RCP-000248,PL-01,CD-SP,P1,56000,2026-02-02,2026-02-05,1
RCP-000249,PL-01,CD-SP,P4,6300,2026-02-02,2026-02-05,1
RCP-000250,PL-01,CD-PE,P3,6600,2026-02-02,2026-02-11,1
RCP-000251,PL-01,CD-GO,P1,21700,2026-02-02,2026-02-07,1
RCP-000252,PL-02,CD-GO,P5,2500,2026-02-02,2026-02-08,1
RCP-000253,PL-01,CD-GO,P3,3300,2026-02-02,2026-02-07,1
RCP-000254,PL-02,CD-PE,P5,4000,2026-02-02,2026-02-05,1
RCP-000255,PL-01,CD-PR,P4,3300,2026-02-02,2026-02-06,1
RCP-000256,PL-02,CD-PR,P5,1500,2026-02-02,2026-02-10,1
RCP-000257,PL-01,CD-SP,P2,37800,2026-02-09,2026-02-12,1
RCP-000258,PL-02,CD-PE,P2,24750,2026-02-09,2026-02-12,1
RCP-000259,PL-01,CD-SP,P3,6000,2026-02-09,2026-02-12,1
RCP-000260,PL-01,CD-SP,P4,4500,2026-02-09,2026-02-12,1
RCP-000261,PL-02,CD-PR,P5,2500,2026-02-09,2026-02-17,1
RCP-000262,PL-01,CD-SP,P1,30100,2026-02-09,2026-02-12,1
RCP-000263,PL-01,CD-PR,P4,1500,2026-02-09,2026-02-13,1
RCP-000264,PL-01,CD-GO,P3,1200,2026-02-09,2026-02-14,1
RCP-000265,PL-01,CD-GO,P1,6300,2026-02-09,2026-02-14,1
RCP-000266,PL-02,CD-GO,P5,500,2026-02-09,2026-02-15,1
RCP-000267,PL-01,CD-PR,P3,900,2026-02-09,2026-02-13,1
RCP-000268,PL-01,CD-PR,P1,4200,2026-02-09,2026-02-13,1
RCP-000269,PL-02,CD-PE,P1,14000,2026-02-09,2026-02-12,1
RCP-000270,PL-02,CD-PE,P5,1500,2026-02-09,2026-02-12,1
RCP-000271,PL-01,CD-PE,P3,1200,2026-02-09,2026-02-16,1
RCP-000272,PL-02,CD-GO,P5,2000,2026-02-16,2026-02-22,1
RCP-000273,PL-01,CD-PR,P2,14400,2026-02-16,2026-02-20,1
RCP-000274,PL-02,CD-SP,P5,2500,2026-02-16,2026-02-22,1
RCP-000275,PL-01,CD-SP,P1,3500,2026-02-16,2026-02-19,1
RCP-000276,PL-02,CD-SP,P1,20300,2026-02-16,2026-02-22,1
RCP-000277,PL-01,CD-SP,P3,300,2026-02-16,2026-02-19,1
RCP-000278,PL-02,CD-GO,P2,2700,2026-02-16,2026-02-22,1
RCP-000279,PL-01,CD-SP,P4,8100,2026-03-02,2026-03-05,1
RCP-000280,PL-01,CD-SP,P3,10800,2026-03-02,2026-03-05,1
RCP-000281,PL-01,CD-PR,P3,6600,2026-03-02,2026-03-06,1
RCP-000282,PL-01,CD-SP,P2,36450,2026-03-02,2026-03-05,1
RCP-000283,PL-01,CD-PR,P4,4500,2026-03-02,2026-03-06,1
RCP-000284,PL-02,CD-SP,P5,5500,2026-03-02,2026-03-08,1
RCP-000285,PL-01,CD-SP,P1,37800,2026-03-02,2026-03-05,1
RCP-000286,PL-01,CD-GO,P4,3300,2026-03-02,2026-03-07,1
RCP-000287,PL-01,CD-PR,P1,32900,2026-03-02,2026-03-06,1
RCP-000288,PL-02,CD-PR,P5,3500,2026-03-02,2026-03-10,1
RCP-000289,PL-01,CD-GO,P2,14850,2026-03-02,2026-03-07,1
RCP-000290,PL-01,CD-GO,P3,3900,2026-03-02,2026-03-07,1
RCP-000291,PL-01,CD-GO,P1,23800,2026-03-02,2026-03-07,1
RCP-000292,PL-01,CD-PE,P4,4800,2026-03-02,2026-03-09,1
RCP-000293,PL-02,CD-PE,P1,37800,2026-03-02,2026-03-05,1
RCP-000294,PL-02,CD-PE,P2,22500,2026-03-02,2026-03-05,1
RCP-000295,PL-02,CD-PE,P5,3500,2026-03-02,2026-03-05,1
RCP-000296,PL-01,CD-PR,P2,14400,2026-03-02,2026-03-06,1
RCP-000297,PL-01,CD-PE,P3,5100,2026-03-02,2026-03-09,1
RCP-000298,PL-02,CD-GO,P5,1500,2026-03-02,2026-03-08,1
RCP-000299,PL-01,CD-SP,P1,33600,2026-03-09,2026-03-12,1
RCP-000300,PL-01,CD-SP,P3,3900,2026-03-09,2026-03-12,1
RCP-000301,PL-01,CD-SP,P2,13500,2026-03-09,2026-03-12,1
RCP-000302,PL-01,CD-SP,P4,2700,2026-03-09,2026-03-12,1
RCP-000303,PL-02,CD-SP,P5,2000,2026-03-09,2026-03-15,1
RCP-000304,PL-01,CD-PR,P2,7650,2026-03-09,2026-03-13,1
RCP-000305,PL-01,CD-PE,P3,3900,2026-03-09,2026-03-16,1
RCP-000306,PL-01,CD-GO,P4,900,2026-03-09,2026-03-14,1
RCP-000307,PL-01,CD-PR,P1,9800,2026-03-09,2026-03-13,1
RCP-000308,PL-01,CD-PR,P4,1200,2026-03-09,2026-03-13,1
RCP-000309,PL-01,CD-GO,P3,1200,2026-03-09,2026-03-14,1
RCP-000310,PL-01,CD-PE,P4,2700,2026-03-09,2026-03-16,1
RCP-000311,PL-01,CD-GO,P1,5600,2026-03-09,2026-03-14,1
RCP-000312,PL-02,CD-PR,P5,500,2026-03-09,2026-03-17,1
RCP-000313,PL-01,CD-GO,P2,3150,2026-03-09,2026-03-14,1
RCP-000314,PL-02,CD-GO,P5,500,2026-03-09,2026-03-15,1
RCP-000315,PL-01,CD-PR,P3,600,2026-03-09,2026-03-13,1
RCP-000316,PL-02,CD-PE,P5,1500,2026-03-09,2026-03-12,1
RCP-000317,PL-02,CD-PE,P2,8100,2026-03-09,2026-03-12,1
RCP-000318,PL-02,CD-PE,P1,8400,2026-03-09,2026-03-18,1
RCP-000319,PL-01,CD-SP,P4,5100,2026-03-16,2026-03-24,1
RCP-000320,PL-02,CD-SP,P5,3000,2026-03-16,2026-03-22,1
RCP-000321,PL-01,CD-SP,P1,25900,2026-03-16,2026-03-19,1
RCP-000322,PL-01,CD-SP,P3,4200,2026-03-16,2026-03-19,1
RCP-000323,PL-01,CD-SP,P2,3600,2026-03-16,2026-03-23,1
RCP-000324,PL-02,CD-SP,P2,11250,2026-03-16,2026-03-22,1
RCP-000325,PL-01,CD-GO,P4,300,2026-03-16,2026-03-21,1
RCP-000326,PL-02,CD-PR,P2,7200,2026-03-16,2026-03-24,1
RCP-000327,PL-02,CD-PR,P1,11200,2026-03-16,2026-03-24,1
RCP-000328,PL-02,CD-PR,P5,1000,2026-03-16,2026-03-24,1
RCP-000329,PL-02,CD-GO,P2,4950,2026-03-16,2026-03-22,1
RCP-000330,PL-02,CD-GO,P1,7700,2026-03-16,2026-03-22,1
RCP-000331,PL-02,CD-GO,P5,1000,2026-03-16,2026-03-22,1
RCP-000332,PL-02,CD-PE,P2,10800,2026-03-16,2026-03-19,1
RCP-000333,PL-02,CD-PE,P5,1000,2026-03-16,2026-03-19,1
RCP-000334,PL-02,CD-PE,P1,7000,2026-03-16,2026-03-19,1
RCP-000335,PL-02,CD-SP,P5,500,2026-03-23,2026-03-29,1
RCP-000336,PL-01,CD-PR,P3,6900,2026-04-06,2026-04-10,1
RCP-000337,PL-01,CD-PR,P4,10200,2026-04-06,2026-04-10,1
RCP-000338,PL-01,CD-SP,P1,67200,2026-04-06,2026-04-09,1
RCP-000339,PL-01,CD-SP,P3,11100,2026-04-06,2026-04-09,1
RCP-000340,PL-01,CD-SP,P2,40950,2026-04-06,2026-04-09,1
RCP-000341,PL-02,CD-SP,P5,7000,2026-04-06,2026-04-12,1
RCP-000342,PL-01,CD-SP,P4,15300,2026-04-06,2026-04-09,1
RCP-000343,PL-01,CD-PE,P4,12000,2026-04-06,2026-04-13,1
RCP-000344,PL-01,CD-GO,P4,6600,2026-04-06,2026-04-11,1
RCP-000345,PL-02,CD-PR,P5,3500,2026-04-06,2026-04-14,1
RCP-000346,PL-01,CD-GO,P3,3900,2026-04-06,2026-04-11,1
RCP-000347,PL-01,CD-PR,P1,30800,2026-04-06,2026-04-10,1
RCP-000348,PL-01,CD-PR,P2,18450,2026-04-06,2026-04-16,1
